start_date,num_trips
2015-03-13,1029
2015-03-14,334
2015-03-15,247
2015-03-16,1108
2015-03-17,1160
2015-03-18,1132
2015-03-19,1175
2015-03-20,1048
2015-03-21,299
2015-03-22,207
2015-03-23,1087
2015-03-24,1144
2015-03-25,1207
2015-03-26,1160
2015-03-27,1056
2015-03-28,390
2015-03-29,274
2015-03-30,1215
2015-03-31,1179
2015-04-01,1180
2015-04-02,1204
2015-04-03,978
2015-04-04,257
2015-04-05,139
2015-04-06,1093
2015-04-07,973
2015-04-08,1159
2015-04-09,1166
2015-04-10,1048
2015-04-11,299
2015-04-12,256
2015-04-13,1168
2015-04-14,1164
2015-04-15,1174
2015-04-16,1177
2015-04-17,1079
2015-04-18,325
2015-04-19,235
2015-04-20,1131
2015-04-21,1193
2015-04-22,1201
2015-04-23,1181
2015-04-24,1008
2015-04-25,304
2015-04-26,209
2015-04-27,1076
2015-04-28,1216
2015-04-29,1136
2015-04-30,1099
2015-05-01,1102
2015-05-02,262
2015-05-03,237
2015-05-04,1124
2015-05-05,1171
2015-05-06,1174
2015-05-07,1194
2015-05-08,1058
2015-05-09,278
2015-05-10,194
2015-05-11,1121
2015-05-12,1150
2015-05-13,1135
2015-05-14,1147
2015-05-15,992
2015-05-16,294
2015-05-17,235
2015-05-18,1109
2015-05-19,1181
2015-05-20,1078
2015-05-21,1137
2015-05-22,961
2015-05-23,288
2015-05-24,235
2015-05-25,229
2015-05-26,1047
2015-05-27,1073
2015-05-28,1093
2015-05-29,1042
2015-05-30,346
2015-05-31,187
2015-06-01,1045
2015-06-02,1219
2015-06-03,1132
2015-06-04,1195
2015-06-05,1052
2015-06-06,256
2015-06-07,277
2015-06-08,1074
2015-06-09,1181
2015-06-10,791
2015-06-11,1207
2015-06-12,1098
2015-06-13,339
2015-06-14,183
2015-06-15,1140
2015-06-16,1223
2015-06-17,1141
2015-06-18,1142
2015-06-19,1043
2015-06-20,315
2015-06-21,211
2015-06-22,1086
2015-06-23,1182
2015-06-24,1159
2015-06-25,1169
2015-06-26,1128
2015-06-27,348
2015-06-28,272
2015-06-29,1044
2015-06-30,1089
2015-07-01,1036
2015-07-02,847
2015-07-03,340
2015-07-04,321
2015-07-05,204
2015-07-06,1042
2015-07-07,1155
2015-07-08,1189
2015-07-09,1059
2015-07-10,1032
2015-07-11,344
2015-07-12,244
2015-07-13,1145
2015-07-14,1125
2015-07-15,1145
2015-07-16,1161
2015-07-17,1025
2015-07-18,274
2015-07-19,283
2015-07-20,1166
2015-07-21,1134
2015-07-22,1093
2015-07-23,1092
2015-07-24,1040
2015-07-25,253
2015-07-26,314
2015-07-27,1131
2015-07-28,1220
2015-07-29,1185
2015-07-30,1133
2015-07-31,1041
2015-08-01,309
2015-08-02,229
2015-08-03,1091
2015-08-04,1150
2015-08-05,1147
2015-08-06,1091
2015-08-07,985
2015-08-08,298
2015-08-09,251
2015-08-10,1092
2015-08-11,1183
2015-08-12,1205
2015-08-13,1203
2015-08-14,1019
2015-08-15,339
2015-08-16,304
2015-08-17,1194
2015-08-18,1233
2015-08-19,1161
2015-08-20,1138
2015-08-21,1020
2015-08-22,331
2015-08-23,221
2015-08-24,1107
2015-08-25,1217
2015-08-26,1226
2015-08-27,1243
2015-08-28,1047
2015-08-29,252
2015-08-30,202
2015-08-31,1180
